-------------------------------
identifier 	 task 	 time
         T 	 search	 0.000002 s
         H 	 search	 0.000003 s
    define 	 search	 0.000003 s
     wchar 	 search	 0.000002 s
         t 	 search	 0.000002 s
         h 	 search	 0.000003 s
    define 	 search	 0.000002 s
       INT 	 search	 0.000003 s
     WCHAR 	 search	 0.000002 s
         T 	 search	 0.000003 s
         H 	 search	 0.000003 s
    define 	 search	 0.000003 s
       GCC 	 search	 0.000002 s
     WCHAR 	 search	 0.000002 s
         T 	 search	 0.000002 s
    define 	 search	 0.000003 s
     WCHAR 	 search	 0.000003 s
         T 	 search	 0.000002 s
  DECLARED 	 search	 0.000003 s
     ifdef 	 search	 0.000002 s
       BSD 	 search	 0.000002 s
     WCHAR 	 search	 0.000002 s
         T 	 search	 0.000002 s
     undef 	 search	 0.000002 s
       BSD 	 search	 0.000003 s
     WCHAR 	 search	 0.000003 s
         T 	 search	 0.000003 s
     ifdef 	 search	 0.000004 s
       BSD 	 search	 0.000003 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000002 s
   defined 	 search	 0.000003 s
      ANSI 	 search	 0.000003 s
    SOURCE 	 insert	 0.000003 s
   defined 	 search	 0.000003 s
     POSIX 	 insert	 0.000003 s
    SOURCE 	 search	 0.000003 s
       BSD 	 search	 0.000004 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000003 s
      rune 	 insert	 0.000003 s
         t 	 search	 0.000003 s
    define 	 search	 0.000003 s
       BSD 	 search	 0.000003 s
     WCHAR 	 search	 0.000003 s
         T 	 search	 0.000003 s
   DEFINED 	 search	 0.000003 s
    define 	 search	 0.000003 s
       BSD 	 search	 0.000004 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000003 s
   DEFINED 	 search	 0.000004 s
   defined 	 search	 0.000003 s
   FreeBSD 	 search	 0.000003 s
   FreeBSD 	 search	 0.000003 s
     undef 	 search	 0.000003 s
       BSD 	 search	 0.000003 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000004 s
   defined 	 search	 0.000003 s
   FreeBSD 	 search	 0.000003 s
   FreeBSD 	 search	 0.000003 s
   defined 	 search	 0.000003 s
      ANSI 	 search	 0.000003 s
    SOURCE 	 search	 0.000003 s
   defined 	 search	 0.000003 s
     POSIX 	 search	 0.000003 s
    SOURCE 	 search	 0.000004 s
       BSD 	 search	 0.000003 s
   VISIBLE 	 insert	 0.000003 s
    ifndef 	 search	 0.000003 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000002 s
  DECLARED 	 search	 0.000003 s
      rune 	 search	 0.000003 s
         t 	 search	 0.000003 s
      rune 	 search	 0.000003 s
         t 	 search	 0.000003 s
    define 	 search	 0.000003 s
      RUNE 	 search	 0.000003 s
         T 	 search	 0.000003 s
  DECLARED 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
     endif 	 search	 0.000003 s
    ifndef 	 search	 0.000004 s
     WCHAR 	 search	 0.000003 s
      TYPE 	 search	 0.000003 s
    define 	 search	 0.000003 s
     WCHAR 	 search	 0.000003 s
      TYPE 	 search	 0.000003 s
     endif 	 search	 0.000003 s
    ifndef 	 search	 0.000003 s
 cplusplus 	 insert	 0.000003 s
     WCHAR 	 search	 0.000003 s
